name,collectedAt,timestamp,value
teastore-auth-cb9754d67-2m5v2,1623079239.5636518,2021-06-07T15:19:47Z,5653313n
teastore-db-97685dd55-nhn99,1623079239.5636518,2021-06-07T15:19:37Z,812169n
teastore-image-6d4545697c-tqqmj,1623079239.5636518,2021-06-07T15:19:40Z,5229672n
teastore-persistence-7478f4bd7b-mcv25,1623079239.5636518,2021-06-07T15:19:32Z,4927279n
teastore-recommender-7d7574595c-fmxqq,1623079239.5636518,2021-06-07T15:19:49Z,6549876n
teastore-registry-676c97dc8b-h25bw,1623079239.5636518,2021-06-07T15:19:47Z,3161130n
teastore-webui-5895447bdf-2tshc,1623079239.5636518,2021-06-07T15:19:44Z,9438040n
teastore-webui-5895447bdf-2tshc,1623079239.5636518,2021-06-07T15:19:44Z,9438040n
teastore-auth-cb9754d67-2m5v2,1623079244.5679772,2021-06-07T15:19:47Z,5653313n
teastore-db-97685dd55-nhn99,1623079244.5679772,2021-06-07T15:19:37Z,812169n
teastore-image-6d4545697c-tqqmj,1623079244.5679772,2021-06-07T15:19:40Z,5229672n
teastore-persistence-7478f4bd7b-mcv25,1623079244.5679772,2021-06-07T15:19:32Z,4927279n
teastore-recommender-7d7574595c-fmxqq,1623079244.5679772,2021-06-07T15:19:49Z,6549876n
teastore-registry-676c97dc8b-h25bw,1623079244.5679772,2021-06-07T15:19:47Z,3161130n
teastore-webui-5895447bdf-2tshc,1623079244.5679772,2021-06-07T15:19:44Z,9438040n
teastore-webui-5895447bdf-2tshc,1623079244.5679772,2021-06-07T15:19:44Z,9438040n
teastore-auth-cb9754d67-2m5v2,1623079249.5720193,2021-06-07T15:20:35Z,4894180n
teastore-db-97685dd55-nhn99,1623079249.5720193,2021-06-07T15:20:41Z,839285n
teastore-image-6d4545697c-tqqmj,1623079249.5720193,2021-06-07T15:20:45Z,6690956n
teastore-persistence-7478f4bd7b-mcv25,1623079249.5720193,2021-06-07T15:20:38Z,3869145n
teastore-recommender-7d7574595c-fmxqq,1623079249.5720193,2021-06-07T15:20:44Z,7147566n
teastore-registry-676c97dc8b-h25bw,1623079249.5720193,2021-06-07T15:20:47Z,2956455n
teastore-webui-5895447bdf-2tshc,1623079249.5720193,2021-06-07T15:20:35Z,10688286n
teastore-webui-5895447bdf-2tshc,1623079249.5720193,2021-06-07T15:20:35Z,10688286n
teastore-auth-cb9754d67-2m5v2,1623079254.5758762,2021-06-07T15:20:35Z,4894180n
teastore-db-97685dd55-nhn99,1623079254.5758762,2021-06-07T15:20:41Z,839285n
teastore-image-6d4545697c-tqqmj,1623079254.5758762,2021-06-07T15:20:45Z,6690956n
teastore-persistence-7478f4bd7b-mcv25,1623079254.5758762,2021-06-07T15:20:38Z,3869145n
teastore-recommender-7d7574595c-fmxqq,1623079254.5758762,2021-06-07T15:20:44Z,7147566n
teastore-registry-676c97dc8b-h25bw,1623079254.5758762,2021-06-07T15:20:47Z,2956455n
teastore-webui-5895447bdf-2tshc,1623079254.5758762,2021-06-07T15:20:35Z,10688286n
teastore-webui-5895447bdf-2tshc,1623079254.5758762,2021-06-07T15:20:35Z,10688286n
teastore-auth-cb9754d67-2m5v2,1623079259.5799248,2021-06-07T15:20:35Z,4894180n
teastore-db-97685dd55-nhn99,1623079259.5799248,2021-06-07T15:20:41Z,839285n
teastore-image-6d4545697c-tqqmj,1623079259.5799248,2021-06-07T15:20:45Z,6690956n
teastore-persistence-7478f4bd7b-mcv25,1623079259.5799248,2021-06-07T15:20:38Z,3869145n
teastore-recommender-7d7574595c-fmxqq,1623079259.5799248,2021-06-07T15:20:44Z,7147566n
teastore-registry-676c97dc8b-h25bw,1623079259.5799248,2021-06-07T15:20:47Z,2956455n
teastore-webui-5895447bdf-2tshc,1623079259.5799248,2021-06-07T15:20:35Z,10688286n
teastore-webui-5895447bdf-2tshc,1623079259.5799248,2021-06-07T15:20:35Z,10688286n
teastore-auth-cb9754d67-2m5v2,1623079264.583849,2021-06-07T15:20:35Z,4894180n
teastore-db-97685dd55-nhn99,1623079264.583849,2021-06-07T15:20:41Z,839285n
teastore-image-6d4545697c-tqqmj,1623079264.583849,2021-06-07T15:20:45Z,6690956n
teastore-persistence-7478f4bd7b-mcv25,1623079264.583849,2021-06-07T15:20:38Z,3869145n
teastore-recommender-7d7574595c-fmxqq,1623079264.583849,2021-06-07T15:20:44Z,7147566n
teastore-registry-676c97dc8b-h25bw,1623079264.583849,2021-06-07T15:20:47Z,2956455n
teastore-webui-5895447bdf-2tshc,1623079264.583849,2021-06-07T15:20:35Z,10688286n
teastore-webui-5895447bdf-2tshc,1623079264.583849,2021-06-07T15:20:35Z,10688286n
teastore-auth-cb9754d67-2m5v2,1623079269.5899632,2021-06-07T15:20:35Z,4894180n
teastore-db-97685dd55-nhn99,1623079269.5899632,2021-06-07T15:20:41Z,839285n
teastore-image-6d4545697c-tqqmj,1623079269.5899632,2021-06-07T15:20:45Z,6690956n
teastore-persistence-7478f4bd7b-mcv25,1623079269.5899632,2021-06-07T15:20:38Z,3869145n
teastore-recommender-7d7574595c-fmxqq,1623079269.5899632,2021-06-07T15:20:44Z,7147566n
teastore-registry-676c97dc8b-h25bw,1623079269.5899632,2021-06-07T15:20:47Z,2956455n
teastore-webui-5895447bdf-2tshc,1623079269.5899632,2021-06-07T15:20:35Z,10688286n
teastore-webui-5895447bdf-2tshc,1623079269.5899632,2021-06-07T15:20:35Z,10688286n
teastore-auth-cb9754d67-2m5v2,1623079274.591988,2021-06-07T15:20:35Z,4894180n
teastore-db-97685dd55-nhn99,1623079274.591988,2021-06-07T15:20:41Z,839285n
teastore-image-6d4545697c-tqqmj,1623079274.591988,2021-06-07T15:20:45Z,6690956n
teastore-persistence-7478f4bd7b-mcv25,1623079274.591988,2021-06-07T15:20:38Z,3869145n
teastore-recommender-7d7574595c-fmxqq,1623079274.591988,2021-06-07T15:20:44Z,7147566n
teastore-registry-676c97dc8b-h25bw,1623079274.591988,2021-06-07T15:20:47Z,2956455n
teastore-webui-5895447bdf-2tshc,1623079274.591988,2021-06-07T15:20:35Z,10688286n
