collectedAt,timestamp,value
1623079239.5636518,1623079239.979,1
1623079244.5679772,1623079244.831,1
1623079249.5720193,1623079249.921,1
1623079254.5758762,1623079254.827,1
1623079259.5799248,1623079259.883,1
1623079264.583849,1623079264.775,1
1623079269.5899632,1623079269.813,1
1623079274.591988,1623079274.85,1
1623079279.5959163,1623079279.792,1
1623079284.5998492,1623079284.836,1
1623079289.603874,1623079289.827,1
1623079294.6079783,1623079295.042,1
1623079299.6118116,1623079300.263,1
1623079304.6165383,1623079305.374,1
1623079309.620023,1623079310.281,1
1623079314.6240866,1623079314.83,1
1623079319.6291947,1623079320.074,1
1623079324.6333792,1623079324.913,1
1623079329.6360612,1623079330.135,1
1623079334.6402855,1623079334.835,1
1623079339.645871,1623079339.929,1
1623079344.650855,1623079345.162,1
1623079349.6552944,1623079349.963,1
1623079354.65994,1623079354.88,1
1623079359.6641226,1623079359.86,1
1623079364.671979,1623079365.157,1
1623079369.6758797,1623079370.375,1
1623079374.6800919,1623079374.879,1
1623079379.684223,1623079379.908,1
1623079384.6879098,1623079384.924,1
1623079389.6919408,1623079389.887,2
1623079394.6960115,1623079395.04,2
1623079399.6998827,1623079399.89,2
1623079404.7044518,1623079404.952,2
1623079409.708075,1623079409.906,2
1623079414.71274,1623079415.011,2
1623079419.715955,1623079419.935,2
1623079424.721086,1623079424.93,2
1623079429.7241,1623079430.02,2
1623079434.7281046,1623079434.951,2
1623079439.7332146,1623079439.987,2
1623079444.7371745,1623079444.978,2
1623079449.7403674,1623079450.016,4
1623079454.7442944,1623079454.943,4
1623079459.7493467,1623079459.947,4
1623079464.752066,1623079465.471,5
1623079469.7559783,1623079470.168,5
1623079474.7600842,1623079475.148,5
1623079479.7644053,1623079480.122,5
1623079484.7683554,1623079485.054,5
1623079489.7720692,1623079489.995,5
1623079494.7763724,1623079495.455,5
1623079499.780339,1623079500.499,5
1623079504.7846143,1623079505.44,5
1623079509.7879312,1623079510.26,8
1623079514.792377,1623079515.347,8
1623079519.7972822,1623079520.492,8
1623079524.800401,1623079525.067,8
1623079529.8055792,1623079530.151,8
1623079534.8107138,1623079535.05,8
1623079539.8120215,1623079540.318,8
1623079544.8146384,1623079545.015,8
1623079549.8198354,1623079550.017,8
1623079554.8249195,1623079555.07,8
1623079559.826198,1623079560.259,8
1623079564.8314269,1623079565.146,8
1623079569.8359392,1623079570.262,11
1623079574.840105,1623079575.528,11
1623079579.8443987,1623079580.068,11
1623079584.8481107,1623079585.064,11
1623079589.8537025,1623079590.345,11
1623079594.858587,1623079595.262,11
1623079599.8600013,1623079600.06,11
1623079604.8650606,1623079605.076,11
1623079609.867979,1623079610.085,11
1623079614.8719823,1623079615.065,11
1623079619.8769944,1623079620.165,11
1623079624.8802977,1623079625.204,11
1623079629.8843596,1623079630.217,11
1623079634.8880758,1623079635.265,11
1623079639.8923662,1623079640.173,11
1623079644.8959594,1623079645.26,11
1623079649.9008937,1623079650.139,11
1623079654.9043915,1623079655.23,11
1623079659.912317,1623079660.142,11
1623079664.916097,1623079665.369,11
1623079669.9206092,1623079670.887,11
1623079674.9240708,1623079675.507,11
1623079679.9280076,1623079680.159,11
1623079684.9328463,1623079685.128,11
1623079689.9360344,1623079690.135,11
1623079694.9398336,1623079695.135,11
1623079699.944131,1623079700.628,11
1623079704.947924,1623079705.24,11
1623079709.9519925,1623079710.179,11
1623079714.9559457,1623079715.85,11
1623079719.9605076,1623079720.167,11
1623079724.9656653,1623079725.16,11
1623079729.9680734,1623079730.519,11
1623079734.9720178,1623079735.341,11
1623079739.9759524,1623079740.306,11
1623079744.980119,1623079745.568,11
1623079749.984855,1623079750.336,11
1623079754.987896,1623079755.273,11
1623079759.9919481,1623079760.362,11
1623079764.9969485,1623079765.309,11
1623079770.001777,1623079770.199,11
1623079775.0059018,1623079775.451,11
1623079780.0108125,1623079780.323,11
1623079785.0159461,1623079785.353,11
1623079790.019949,1623079791.224,11
1623079795.0241058,1623079795.379,11
1623079800.0280788,1623079800.393,11
1623079805.0330613,1623079805.3,11
1623079810.0379019,1623079810.417,11
1623079815.0417464,1623079815.412,11
1623079820.0453813,1623079820.257,11
1623079825.047989,1623079825.264,11
1623079830.0520806,1623079830.281,11
1623079835.0560558,1623079835.526,11
1623079840.060898,1623079840.292,11
1623079845.0638356,1623079845.305,11
1623079850.0679133,1623079850.396,11
1623079855.072725,1623079855.332,11
1623079860.0777943,1623079860.44,11
1623079865.0806494,1623079865.38,11
1623079870.0839348,1623079870.897,11
1623079875.0880933,1623079875.386,11
1623079880.0932302,1623079880.324,11
1623079885.0983453,1623079885.336,11
1623079890.1040642,1623079890.426,11
1623079895.1089823,1623079895.363,11
1623079900.1149988,1623079900.312,11
1623079905.1201086,1623079905.539,11
1623079910.1245987,1623079910.378,11
1623079915.1319513,1623079915.576,1
1623079920.1368039,1623079920.585,1
1623079925.141529,1623079925.598,1
1623079930.1445885,1623079930.626,1
1623079935.1505237,1623079935.347,1
1623079940.1525881,1623079940.377,1
1623079945.1561072,1623079945.355,1
1623079950.1600652,1623079950.589,1
1623079955.1639478,1623079955.565,1
