name,collectedAt,timestamp,value
teastore-auth-cb9754d67-c4qpr,1623317859.4847267,2021-06-10T09:37:12Z,5069031n
teastore-db-97685dd55-zzbx5,1623317859.4847267,2021-06-10T09:37:11Z,759323n
teastore-image-6d4545697c-cgsth,1623317859.4847267,2021-06-10T09:37:17Z,6098945n
teastore-persistence-7478f4bd7b-66fn2,1623317859.4847267,2021-06-10T09:37:11Z,3242158n
teastore-recommender-7d7574595c-rxdfq,1623317859.4847267,2021-06-10T09:37:12Z,5413330n
teastore-registry-676c97dc8b-w7g2q,1623317859.4847267,2021-06-10T09:37:09Z,2990621n
teastore-webui-5895447bdf-krvwp,1623317859.4847267,2021-06-10T09:37:08Z,9093683n
teastore-auth-cb9754d67-c4qpr,1623317864.4860475,2021-06-10T09:37:12Z,5069031n
teastore-db-97685dd55-zzbx5,1623317864.4860475,2021-06-10T09:37:11Z,759323n
teastore-image-6d4545697c-cgsth,1623317864.4860475,2021-06-10T09:37:17Z,6098945n
teastore-persistence-7478f4bd7b-66fn2,1623317864.4860475,2021-06-10T09:37:11Z,3242158n
teastore-recommender-7d7574595c-rxdfq,1623317864.4860475,2021-06-10T09:37:12Z,5413330n
teastore-registry-676c97dc8b-w7g2q,1623317864.4860475,2021-06-10T09:37:09Z,2990621n
teastore-webui-5895447bdf-krvwp,1623317864.4860475,2021-06-10T09:37:08Z,9093683n
teastore-auth-cb9754d67-c4qpr,1623317869.4900877,2021-06-10T09:37:12Z,5069031n
teastore-db-97685dd55-zzbx5,1623317869.4900877,2021-06-10T09:37:11Z,759323n
teastore-image-6d4545697c-cgsth,1623317869.4900877,2021-06-10T09:37:17Z,6098945n
teastore-persistence-7478f4bd7b-66fn2,1623317869.4900877,2021-06-10T09:37:11Z,3242158n
teastore-recommender-7d7574595c-rxdfq,1623317869.4900877,2021-06-10T09:37:12Z,5413330n
teastore-registry-676c97dc8b-w7g2q,1623317869.4900877,2021-06-10T09:37:09Z,2990621n
teastore-webui-5895447bdf-krvwp,1623317869.4900877,2021-06-10T09:37:08Z,9093683n
teastore-auth-cb9754d67-c4qpr,1623317874.495491,2021-06-10T09:37:12Z,5069031n
teastore-db-97685dd55-zzbx5,1623317874.495491,2021-06-10T09:37:11Z,759323n
teastore-image-6d4545697c-cgsth,1623317874.495491,2021-06-10T09:37:17Z,6098945n
teastore-persistence-7478f4bd7b-66fn2,1623317874.495491,2021-06-10T09:37:11Z,3242158n
teastore-recommender-7d7574595c-rxdfq,1623317874.495491,2021-06-10T09:37:12Z,5413330n
teastore-registry-676c97dc8b-w7g2q,1623317874.495491,2021-06-10T09:37:09Z,2990621n
teastore-webui-5895447bdf-krvwp,1623317874.495491,2021-06-10T09:37:08Z,9093683n
teastore-auth-cb9754d67-c4qpr,1623317879.4977934,2021-06-10T09:37:12Z,5069031n
teastore-db-97685dd55-zzbx5,1623317879.4977934,2021-06-10T09:37:11Z,759323n
teastore-image-6d4545697c-cgsth,1623317879.4977934,2021-06-10T09:37:17Z,6098945n
teastore-persistence-7478f4bd7b-66fn2,1623317879.4977934,2021-06-10T09:37:11Z,3242158n
teastore-recommender-7d7574595c-rxdfq,1623317879.4977934,2021-06-10T09:37:12Z,5413330n
teastore-registry-676c97dc8b-w7g2q,1623317879.4977934,2021-06-10T09:37:09Z,2990621n
teastore-webui-5895447bdf-krvwp,1623317879.4977934,2021-06-10T09:37:08Z,9093683n
teastore-auth-cb9754d67-c4qpr,1623317884.5021372,2021-06-10T09:37:12Z,5069031n
teastore-db-97685dd55-zzbx5,1623317884.5021372,2021-06-10T09:37:11Z,759323n
teastore-image-6d4545697c-cgsth,1623317884.5021372,2021-06-10T09:37:17Z,6098945n
teastore-persistence-7478f4bd7b-66fn2,1623317884.5021372,2021-06-10T09:37:11Z,3242158n
teastore-recommender-7d7574595c-rxdfq,1623317884.5021372,2021-06-10T09:37:12Z,5413330n
teastore-registry-676c97dc8b-w7g2q,1623317884.5021372,2021-06-10T09:37:09Z,2990621n
teastore-webui-5895447bdf-krvwp,1623317884.5021372,2021-06-10T09:37:08Z,9093683n
teastore-auth-cb9754d67-c4qpr,1623317889.5058181,2021-06-10T09:37:12Z,5069031n
teastore-db-97685dd55-zzbx5,1623317889.5058181,2021-06-10T09:37:11Z,759323n
teastore-image-6d4545697c-cgsth,1623317889.5058181,2021-06-10T09:37:17Z,6098945n
teastore-persistence-7478f4bd7b-66fn2,1623317889.5058181,2021-06-10T09:37:11Z,3242158n
teastore-recommender-7d7574595c-rxdfq,1623317889.5058181,2021-06-10T09:37:12Z,5413330n
teastore-registry-676c97dc8b-w7g2q,1623317889.5058181,2021-06-10T09:37:09Z,2990621n
teastore-webui-5895447bdf-krvwp,1623317889.5058181,2021-06-10T09:37:08Z,9093683n
teastore-auth-cb9754d67-c4qpr,1623317894.50996,2021-06-10T09:37:12Z,5069031n
