name,collectedAt,timestamp,value
cilium-operator,1623317859.4847267,1623317859.893,1
coredns,1623317859.4847267,1623317859.893,2
grafana,1623317859.4847267,1623317859.893,1
kube-state-metrics,1623317859.4847267,1623317859.893,1
metrics-server,1623317859.4847267,1623317859.893,1
metrics-server-exporter,1623317859.4847267,1623317859.893,1
prometheus-deployment,1623317859.4847267,1623317859.893,1
teastore-auth,1623317859.4847267,1623317859.893,1
teastore-db,1623317859.4847267,1623317859.893,1
teastore-image,1623317859.4847267,1623317859.893,1
teastore-persistence,1623317859.4847267,1623317859.893,1
teastore-recommender,1623317859.4847267,1623317859.893,1
teastore-registry,1623317859.4847267,1623317859.893,1
teastore-webui,1623317859.4847267,1623317859.893,1
cilium-operator,1623317864.4860475,1623317864.762,1
coredns,1623317864.4860475,1623317864.762,2
grafana,1623317864.4860475,1623317864.762,1
kube-state-metrics,1623317864.4860475,1623317864.762,1
metrics-server,1623317864.4860475,1623317864.762,1
metrics-server-exporter,1623317864.4860475,1623317864.762,1
prometheus-deployment,1623317864.4860475,1623317864.762,1
teastore-auth,1623317864.4860475,1623317864.762,1
teastore-db,1623317864.4860475,1623317864.762,1
teastore-image,1623317864.4860475,1623317864.762,1
teastore-persistence,1623317864.4860475,1623317864.762,1
teastore-recommender,1623317864.4860475,1623317864.762,1
teastore-registry,1623317864.4860475,1623317864.762,1
teastore-webui,1623317864.4860475,1623317864.762,1
cilium-operator,1623317869.4900877,1623317870.152,1
coredns,1623317869.4900877,1623317870.152,2
grafana,1623317869.4900877,1623317870.152,1
kube-state-metrics,1623317869.4900877,1623317870.152,1
metrics-server,1623317869.4900877,1623317870.152,1
metrics-server-exporter,1623317869.4900877,1623317870.152,1
prometheus-deployment,1623317869.4900877,1623317870.152,1
teastore-auth,1623317869.4900877,1623317870.152,1
teastore-db,1623317869.4900877,1623317870.152,1
teastore-image,1623317869.4900877,1623317870.152,1
teastore-persistence,1623317869.4900877,1623317870.152,1
teastore-recommender,1623317869.4900877,1623317870.152,1
teastore-registry,1623317869.4900877,1623317870.152,1
teastore-webui,1623317869.4900877,1623317870.152,1
cilium-operator,1623317874.495491,1623317875.157,1
coredns,1623317874.495491,1623317875.157,2
grafana,1623317874.495491,1623317875.157,1
kube-state-metrics,1623317874.495491,1623317875.157,1
metrics-server,1623317874.495491,1623317875.157,1
metrics-server-exporter,1623317874.495491,1623317875.157,1
prometheus-deployment,1623317874.495491,1623317875.157,1
teastore-auth,1623317874.495491,1623317875.157,1
teastore-db,1623317874.495491,1623317875.157,1
teastore-image,1623317874.495491,1623317875.157,1
teastore-persistence,1623317874.495491,1623317875.157,1
teastore-recommender,1623317874.495491,1623317875.157,1
teastore-registry,1623317874.495491,1623317875.157,1
teastore-webui,1623317874.495491,1623317875.157,1
cilium-operator,1623317879.4977934,1623317880.173,1
coredns,1623317879.4977934,1623317880.173,2
grafana,1623317879.4977934,1623317880.173,1
kube-state-metrics,1623317879.4977934,1623317880.173,1
metrics-server,1623317879.4977934,1623317880.173,1
metrics-server-exporter,1623317879.4977934,1623317880.173,1
prometheus-deployment,1623317879.4977934,1623317880.173,1
teastore-auth,1623317879.4977934,1623317880.173,1
teastore-db,1623317879.4977934,1623317880.173,1
teastore-image,1623317879.4977934,1623317880.173,1
teastore-persistence,1623317879.4977934,1623317880.173,1
teastore-recommender,1623317879.4977934,1623317880.173,1
teastore-registry,1623317879.4977934,1623317880.173,1
teastore-webui,1623317879.4977934,1623317880.173,1
cilium-operator,1623317884.5021372,1623317885.338,1
coredns,1623317884.5021372,1623317885.338,2
grafana,1623317884.5021372,1623317885.338,1
kube-state-metrics,1623317884.5021372,1623317885.338,1
metrics-server,1623317884.5021372,1623317885.338,1
metrics-server-exporter,1623317884.5021372,1623317885.338,1
prometheus-deployment,1623317884.5021372,1623317885.338,1
teastore-auth,1623317884.5021372,1623317885.338,1
teastore-db,1623317884.5021372,1623317885.338,1
teastore-image,1623317884.5021372,1623317885.338,1
teastore-persistence,1623317884.5021372,1623317885.338,1
teastore-recommender,1623317884.5021372,1623317885.338,1
teastore-registry,1623317884.5021372,1623317885.338,1
teastore-webui,1623317884.5021372,1623317885.338,1
cilium-operator,1623317889.5058181,1623317889.932,1
coredns,1623317889.5058181,1623317889.932,2
grafana,1623317889.5058181,1623317889.932,1
kube-state-metrics,1623317889.5058181,1623317889.932,1
metrics-server,1623317889.5058181,1623317889.932,1
metrics-server-exporter,1623317889.5058181,1623317889.932,1
prometheus-deployment,1623317889.5058181,1623317889.932,1
teastore-auth,1623317889.5058181,1623317889.932,1
teastore-db,1623317889.5058181,1623317889.932,1
teastore-image,1623317889.5058181,1623317889.932,1
teastore-persistence,1623317889.5058181,1623317889.932,1
teastore-recommender,1623317889.5058181,1623317889.932,1
teastore-registry,1623317889.5058181,1623317889.932,1
teastore-webui,1623317889.5058181,1623317889.932,1
cilium-operator,1623317894.50996,1623317895.014,1
coredns,1623317894.50996,1623317895.014,2
grafana,1623317894.50996,1623317895.014,1
kube-state-metrics,1623317894.50996,1623317895.014,1
metrics-server,1623317894.50996,1623317895.014,1
metrics-server-exporter,1623317894.50996,1623317895.014,1
prometheus-deployment,1623317894.50996,1623317895.014,1
teastore-auth,1623317894.50996,1623317895.014,1
teastore-db,1623317894.50996,1623317895.014,1
teastore-image,1623317894.50996,1623317895.014,1
teastore-persistence,1623317894.50996,1623317895.014,1
teastore-recommender,1623317894.50996,1623317895.014,1
teastore-registry,1623317894.50996,1623317895.014,1
teastore-webui,1623317894.50996,1623317895.014,1
cilium-operator,1623317899.5139868,1623317900.018,1
coredns,1623317899.5139868,1623317900.018,2
grafana,1623317899.5139868,1623317900.018,1
kube-state-metrics,1623317899.5139868,1623317900.018,1
metrics-server,1623317899.5139868,1623317900.018,1
metrics-server-exporter,1623317899.5139868,1623317900.018,1
prometheus-deployment,1623317899.5139868,1623317900.018,1
teastore-auth,1623317899.5139868,1623317900.018,1
teastore-db,1623317899.5139868,1623317900.018,1
teastore-image,1623317899.5139868,1623317900.018,1
teastore-persistence,1623317899.5139868,1623317900.018,1
teastore-recommender,1623317899.5139868,1623317900.018,1
teastore-registry,1623317899.5139868,1623317900.018,1
teastore-webui,1623317899.5139868,1623317900.018,1
cilium-operator,1623317904.5188715,1623317904.906,1
coredns,1623317904.5188715,1623317904.906,2
grafana,1623317904.5188715,1623317904.906,1
kube-state-metrics,1623317904.5188715,1623317904.906,1
metrics-server,1623317904.5188715,1623317904.906,1
metrics-server-exporter,1623317904.5188715,1623317904.906,1
prometheus-deployment,1623317904.5188715,1623317904.906,1
teastore-auth,1623317904.5188715,1623317904.906,1
teastore-db,1623317904.5188715,1623317904.906,1
teastore-image,1623317904.5188715,1623317904.906,1
teastore-persistence,1623317904.5188715,1623317904.906,1
teastore-recommender,1623317904.5188715,1623317904.906,1
teastore-registry,1623317904.5188715,1623317904.906,1
teastore-webui,1623317904.5188715,1623317904.906,1
cilium-operator,1623317909.5216222,1623317909.784,1
coredns,1623317909.5216222,1623317909.784,2
grafana,1623317909.5216222,1623317909.784,1
kube-state-metrics,1623317909.5216222,1623317909.784,1
metrics-server,1623317909.5216222,1623317909.784,1
metrics-server-exporter,1623317909.5216222,1623317909.784,1
prometheus-deployment,1623317909.5216222,1623317909.784,1
teastore-auth,1623317909.5216222,1623317909.784,1
teastore-db,1623317909.5216222,1623317909.784,1
teastore-image,1623317909.5216222,1623317909.784,1
teastore-persistence,1623317909.5216222,1623317909.784,1
teastore-recommender,1623317909.5216222,1623317909.784,1
teastore-registry,1623317909.5216222,1623317909.784,1
teastore-webui,1623317909.5216222,1623317909.784,1
cilium-operator,1623317914.5268817,1623317914.811,1
coredns,1623317914.5268817,1623317914.811,2
grafana,1623317914.5268817,1623317914.811,1
kube-state-metrics,1623317914.5268817,1623317914.811,1
metrics-server,1623317914.5268817,1623317914.811,1
metrics-server-exporter,1623317914.5268817,1623317914.811,1
prometheus-deployment,1623317914.5268817,1623317914.811,1
teastore-auth,1623317914.5268817,1623317914.811,1
teastore-db,1623317914.5268817,1623317914.811,1
teastore-image,1623317914.5268817,1623317914.811,1
teastore-persistence,1623317914.5268817,1623317914.811,1
teastore-recommender,1623317914.5268817,1623317914.811,1
teastore-registry,1623317914.5268817,1623317914.811,1
teastore-webui,1623317914.5268817,1623317914.811,1
cilium-operator,1623317919.530045,1623317919.928,1
coredns,1623317919.530045,1623317919.928,2
grafana,1623317919.530045,1623317919.928,1
kube-state-metrics,1623317919.530045,1623317919.928,1
metrics-server,1623317919.530045,1623317919.928,1
metrics-server-exporter,1623317919.530045,1623317919.928,1
prometheus-deployment,1623317919.530045,1623317919.928,1
teastore-auth,1623317919.530045,1623317919.928,1
teastore-db,1623317919.530045,1623317919.928,1
teastore-image,1623317919.530045,1623317919.928,1
teastore-persistence,1623317919.530045,1623317919.928,1
teastore-recommender,1623317919.530045,1623317919.928,1
teastore-registry,1623317919.530045,1623317919.928,1
teastore-webui,1623317919.530045,1623317919.928,1
cilium-operator,1623317924.535056,1623317925.227,1
coredns,1623317924.535056,1623317925.227,2
grafana,1623317924.535056,1623317925.227,1
kube-state-metrics,1623317924.535056,1623317925.227,1
metrics-server,1623317924.535056,1623317925.227,1
metrics-server-exporter,1623317924.535056,1623317925.227,1
prometheus-deployment,1623317924.535056,1623317925.227,1
teastore-auth,1623317924.535056,1623317925.227,1
teastore-db,1623317924.535056,1623317925.227,1
teastore-image,1623317924.535056,1623317925.227,1
teastore-persistence,1623317924.535056,1623317925.227,1
teastore-recommender,1623317924.535056,1623317925.227,1
teastore-registry,1623317924.535056,1623317925.227,1
teastore-webui,1623317924.535056,1623317925.227,2
cilium-operator,1623317929.5376875,1623317930.069,1
coredns,1623317929.5376875,1623317930.069,2
grafana,1623317929.5376875,1623317930.069,1
kube-state-metrics,1623317929.5376875,1623317930.069,1
metrics-server,1623317929.5376875,1623317930.069,1
metrics-server-exporter,1623317929.5376875,1623317930.069,1
prometheus-deployment,1623317929.5376875,1623317930.069,1
teastore-auth,1623317929.5376875,1623317930.069,1
teastore-db,1623317929.5376875,1623317930.069,1
teastore-image,1623317929.5376875,1623317930.069,1
teastore-persistence,1623317929.5376875,1623317930.069,1
teastore-recommender,1623317929.5376875,1623317930.069,1
teastore-registry,1623317929.5376875,1623317930.069,1
teastore-webui,1623317929.5376875,1623317930.069,2
cilium-operator,1623317934.5423217,1623317934.844,1
coredns,1623317934.5423217,1623317934.844,2
grafana,1623317934.5423217,1623317934.844,1
kube-state-metrics,1623317934.5423217,1623317934.844,1
metrics-server,1623317934.5423217,1623317934.844,1
metrics-server-exporter,1623317934.5423217,1623317934.844,1
prometheus-deployment,1623317934.5423217,1623317934.844,1
teastore-auth,1623317934.5423217,1623317934.844,1
teastore-db,1623317934.5423217,1623317934.844,1
teastore-image,1623317934.5423217,1623317934.844,1
teastore-persistence,1623317934.5423217,1623317934.844,1
teastore-recommender,1623317934.5423217,1623317934.844,1
teastore-registry,1623317934.5423217,1623317934.844,1
teastore-webui,1623317934.5423217,1623317934.844,2
cilium-operator,1623317939.5460126,1623317939.957,1
coredns,1623317939.5460126,1623317939.957,2
grafana,1623317939.5460126,1623317939.957,1
kube-state-metrics,1623317939.5460126,1623317939.957,1
metrics-server,1623317939.5460126,1623317939.957,1
metrics-server-exporter,1623317939.5460126,1623317939.957,1
prometheus-deployment,1623317939.5460126,1623317939.957,1
teastore-auth,1623317939.5460126,1623317939.957,1
teastore-db,1623317939.5460126,1623317939.957,1
teastore-image,1623317939.5460126,1623317939.957,1
teastore-persistence,1623317939.5460126,1623317939.957,1
teastore-recommender,1623317939.5460126,1623317939.957,1
teastore-registry,1623317939.5460126,1623317939.957,1
teastore-webui,1623317939.5460126,1623317939.957,2
cilium-operator,1623317944.5496724,1623317944.829,1
coredns,1623317944.5496724,1623317944.829,2
grafana,1623317944.5496724,1623317944.829,1
kube-state-metrics,1623317944.5496724,1623317944.829,1
metrics-server,1623317944.5496724,1623317944.829,1
metrics-server-exporter,1623317944.5496724,1623317944.829,1
prometheus-deployment,1623317944.5496724,1623317944.829,1
teastore-auth,1623317944.5496724,1623317944.829,1
teastore-db,1623317944.5496724,1623317944.829,1
teastore-image,1623317944.5496724,1623317944.829,1
teastore-persistence,1623317944.5496724,1623317944.829,1
teastore-recommender,1623317944.5496724,1623317944.829,1
teastore-registry,1623317944.5496724,1623317944.829,1
teastore-webui,1623317944.5496724,1623317944.829,2
cilium-operator,1623317949.5536866,1623317949.918,1
coredns,1623317949.5536866,1623317949.918,2
grafana,1623317949.5536866,1623317949.918,1
kube-state-metrics,1623317949.5536866,1623317949.918,1
metrics-server,1623317949.5536866,1623317949.918,1
metrics-server-exporter,1623317949.5536866,1623317949.918,1
prometheus-deployment,1623317949.5536866,1623317949.918,1
teastore-auth,1623317949.5536866,1623317949.918,1
teastore-db,1623317949.5536866,1623317949.918,1
teastore-image,1623317949.5536866,1623317949.918,1
teastore-persistence,1623317949.5536866,1623317949.918,1
teastore-recommender,1623317949.5536866,1623317949.918,1
teastore-registry,1623317949.5536866,1623317949.918,1
teastore-webui,1623317949.5536866,1623317949.918,2
cilium-operator,1623317954.55767,1623317954.823,1
coredns,1623317954.55767,1623317954.823,2
grafana,1623317954.55767,1623317954.823,1
kube-state-metrics,1623317954.55767,1623317954.823,1
metrics-server,1623317954.55767,1623317954.823,1
metrics-server-exporter,1623317954.55767,1623317954.823,1
prometheus-deployment,1623317954.55767,1623317954.823,1
teastore-auth,1623317954.55767,1623317954.823,1
teastore-db,1623317954.55767,1623317954.823,1
teastore-image,1623317954.55767,1623317954.823,1
teastore-persistence,1623317954.55767,1623317954.823,1
teastore-recommender,1623317954.55767,1623317954.823,1
teastore-registry,1623317954.55767,1623317954.823,1
teastore-webui,1623317954.55767,1623317954.823,2
cilium-operator,1623317959.5630343,1623317959.836,1
coredns,1623317959.5630343,1623317959.836,2
grafana,1623317959.5630343,1623317959.836,1
kube-state-metrics,1623317959.5630343,1623317959.836,1
metrics-server,1623317959.5630343,1623317959.836,1
metrics-server-exporter,1623317959.5630343,1623317959.836,1
prometheus-deployment,1623317959.5630343,1623317959.836,1
teastore-auth,1623317959.5630343,1623317959.836,1
teastore-db,1623317959.5630343,1623317959.836,1
teastore-image,1623317959.5630343,1623317959.836,1
teastore-persistence,1623317959.5630343,1623317959.836,1
teastore-recommender,1623317959.5630343,1623317959.836,1
teastore-registry,1623317959.5630343,1623317959.836,1
teastore-webui,1623317959.5630343,1623317959.836,2
cilium-operator,1623317964.5656576,1623317964.848,1
coredns,1623317964.5656576,1623317964.848,2
grafana,1623317964.5656576,1623317964.848,1
kube-state-metrics,1623317964.5656576,1623317964.848,1
metrics-server,1623317964.5656576,1623317964.848,1
metrics-server-exporter,1623317964.5656576,1623317964.848,1
prometheus-deployment,1623317964.5656576,1623317964.848,1
teastore-auth,1623317964.5656576,1623317964.848,1
teastore-db,1623317964.5656576,1623317964.848,1
teastore-image,1623317964.5656576,1623317964.848,1
teastore-persistence,1623317964.5656576,1623317964.848,1
teastore-recommender,1623317964.5656576,1623317964.848,1
teastore-registry,1623317964.5656576,1623317964.848,1
teastore-webui,1623317964.5656576,1623317964.848,2
cilium-operator,1623317969.569679,1623317969.863,1
coredns,1623317969.569679,1623317969.863,2
grafana,1623317969.569679,1623317969.863,1
kube-state-metrics,1623317969.569679,1623317969.863,1
metrics-server,1623317969.569679,1623317969.863,1
metrics-server-exporter,1623317969.569679,1623317969.863,1
prometheus-deployment,1623317969.569679,1623317969.863,1
teastore-auth,1623317969.569679,1623317969.863,2
teastore-db,1623317969.569679,1623317969.863,1
teastore-image,1623317969.569679,1623317969.863,1
teastore-persistence,1623317969.569679,1623317969.863,2
teastore-recommender,1623317969.569679,1623317969.863,1
teastore-registry,1623317969.569679,1623317969.863,1
teastore-webui,1623317969.569679,1623317969.863,2
cilium-operator,1623317974.5736985,1623317974.956,1
coredns,1623317974.5736985,1623317974.956,2
grafana,1623317974.5736985,1623317974.956,1
kube-state-metrics,1623317974.5736985,1623317974.956,1
metrics-server,1623317974.5736985,1623317974.956,1
metrics-server-exporter,1623317974.5736985,1623317974.956,1
prometheus-deployment,1623317974.5736985,1623317974.956,1
teastore-auth,1623317974.5736985,1623317974.956,2
teastore-db,1623317974.5736985,1623317974.956,1
teastore-image,1623317974.5736985,1623317974.956,1
teastore-persistence,1623317974.5736985,1623317974.956,2
teastore-recommender,1623317974.5736985,1623317974.956,1
teastore-registry,1623317974.5736985,1623317974.956,1
teastore-webui,1623317974.5736985,1623317974.956,2
cilium-operator,1623317979.5777044,1623317979.858,1
coredns,1623317979.5777044,1623317979.858,2
grafana,1623317979.5777044,1623317979.858,1
kube-state-metrics,1623317979.5777044,1623317979.858,1
metrics-server,1623317979.5777044,1623317979.858,1
metrics-server-exporter,1623317979.5777044,1623317979.858,1
prometheus-deployment,1623317979.5777044,1623317979.858,1
teastore-auth,1623317979.5777044,1623317979.858,2
teastore-db,1623317979.5777044,1623317979.858,1
teastore-image,1623317979.5777044,1623317979.858,1
teastore-persistence,1623317979.5777044,1623317979.858,2
teastore-recommender,1623317979.5777044,1623317979.858,1
teastore-registry,1623317979.5777044,1623317979.858,1
teastore-webui,1623317979.5777044,1623317979.858,2
cilium-operator,1623317984.5819888,1623317985.062,1
coredns,1623317984.5819888,1623317985.062,2
grafana,1623317984.5819888,1623317985.062,1
kube-state-metrics,1623317984.5819888,1623317985.062,1
metrics-server,1623317984.5819888,1623317985.062,1
metrics-server-exporter,1623317984.5819888,1623317985.062,1
prometheus-deployment,1623317984.5819888,1623317985.062,1
teastore-auth,1623317984.5819888,1623317985.062,2
teastore-db,1623317984.5819888,1623317985.062,1
teastore-image,1623317984.5819888,1623317985.062,1
teastore-persistence,1623317984.5819888,1623317985.062,2
teastore-recommender,1623317984.5819888,1623317985.062,1
teastore-registry,1623317984.5819888,1623317985.062,1
teastore-webui,1623317984.5819888,1623317985.062,4
cilium-operator,1623317989.585943,1623317989.906,1
coredns,1623317989.585943,1623317989.906,2
grafana,1623317989.585943,1623317989.906,1
kube-state-metrics,1623317989.585943,1623317989.906,1
metrics-server,1623317989.585943,1623317989.906,1
metrics-server-exporter,1623317989.585943,1623317989.906,1
prometheus-deployment,1623317989.585943,1623317989.906,1
teastore-auth,1623317989.585943,1623317989.906,2
teastore-db,1623317989.585943,1623317989.906,1
teastore-image,1623317989.585943,1623317989.906,1
teastore-persistence,1623317989.585943,1623317989.906,2
teastore-recommender,1623317989.585943,1623317989.906,1
teastore-registry,1623317989.585943,1623317989.906,1
teastore-webui,1623317989.585943,1623317989.906,4
cilium-operator,1623317994.5896869,1623317995.1,1
coredns,1623317994.5896869,1623317995.1,2
grafana,1623317994.5896869,1623317995.1,1
kube-state-metrics,1623317994.5896869,1623317995.1,1
metrics-server,1623317994.5896869,1623317995.1,1
metrics-server-exporter,1623317994.5896869,1623317995.1,1
prometheus-deployment,1623317994.5896869,1623317995.1,1
teastore-auth,1623317994.5896869,1623317995.1,2
teastore-db,1623317994.5896869,1623317995.1,1
teastore-image,1623317994.5896869,1623317995.1,1
teastore-persistence,1623317994.5896869,1623317995.1,2
teastore-recommender,1623317994.5896869,1623317995.1,1
teastore-registry,1623317994.5896869,1623317995.1,1
teastore-webui,1623317994.5896869,1623317995.1,4
cilium-operator,1623317999.5946655,1623317999.96,1
coredns,1623317999.5946655,1623317999.96,2
grafana,1623317999.5946655,1623317999.96,1
kube-state-metrics,1623317999.5946655,1623317999.96,1
metrics-server,1623317999.5946655,1623317999.96,1
metrics-server-exporter,1623317999.5946655,1623317999.96,1
prometheus-deployment,1623317999.5946655,1623317999.96,1
teastore-auth,1623317999.5946655,1623317999.96,2
teastore-db,1623317999.5946655,1623317999.96,1
teastore-image,1623317999.5946655,1623317999.96,1
teastore-persistence,1623317999.5946655,1623317999.96,2
teastore-recommender,1623317999.5946655,1623317999.96,1
teastore-registry,1623317999.5946655,1623317999.96,1
teastore-webui,1623317999.5946655,1623317999.96,8
cilium-operator,1623318004.5979636,1623318005.51,1
coredns,1623318004.5979636,1623318005.51,2
grafana,1623318004.5979636,1623318005.51,1
kube-state-metrics,1623318004.5979636,1623318005.51,1
metrics-server,1623318004.5979636,1623318005.51,1
metrics-server-exporter,1623318004.5979636,1623318005.51,1
prometheus-deployment,1623318004.5979636,1623318005.51,1
teastore-auth,1623318004.5979636,1623318005.51,2
teastore-db,1623318004.5979636,1623318005.51,1
teastore-image,1623318004.5979636,1623318005.51,1
teastore-persistence,1623318004.5979636,1623318005.51,2
teastore-recommender,1623318004.5979636,1623318005.51,1
teastore-registry,1623318004.5979636,1623318005.51,1
teastore-webui,1623318004.5979636,1623318005.51,8
cilium-operator,1623318009.6019545,1623318009.937,1
coredns,1623318009.6019545,1623318009.937,2
grafana,1623318009.6019545,1623318009.937,1
kube-state-metrics,1623318009.6019545,1623318009.937,1
metrics-server,1623318009.6019545,1623318009.937,1
metrics-server-exporter,1623318009.6019545,1623318009.937,1
prometheus-deployment,1623318009.6019545,1623318009.937,1
teastore-auth,1623318009.6019545,1623318009.937,2
teastore-db,1623318009.6019545,1623318009.937,1
teastore-image,1623318009.6019545,1623318009.937,1
teastore-persistence,1623318009.6019545,1623318009.937,2
teastore-recommender,1623318009.6019545,1623318009.937,1
teastore-registry,1623318009.6019545,1623318009.937,1
teastore-webui,1623318009.6019545,1623318009.937,8
cilium-operator,1623318014.6076002,1623318015.444,1
coredns,1623318014.6076002,1623318015.444,2
grafana,1623318014.6076002,1623318015.444,1
kube-state-metrics,1623318014.6076002,1623318015.444,1
metrics-server,1623318014.6076002,1623318015.444,1
metrics-server-exporter,1623318014.6076002,1623318015.444,1
prometheus-deployment,1623318014.6076002,1623318015.444,1
teastore-auth,1623318014.6076002,1623318015.444,2
teastore-db,1623318014.6076002,1623318015.444,1
teastore-image,1623318014.6076002,1623318015.444,1
teastore-persistence,1623318014.6076002,1623318015.444,2
teastore-recommender,1623318014.6076002,1623318015.444,1
teastore-registry,1623318014.6076002,1623318015.444,1
teastore-webui,1623318014.6076002,1623318015.444,8
cilium-operator,1623318019.6096373,1623318019.879,1
coredns,1623318019.6096373,1623318019.879,2
grafana,1623318019.6096373,1623318019.879,1
kube-state-metrics,1623318019.6096373,1623318019.879,1
metrics-server,1623318019.6096373,1623318019.879,1
metrics-server-exporter,1623318019.6096373,1623318019.879,1
prometheus-deployment,1623318019.6096373,1623318019.879,1
teastore-auth,1623318019.6096373,1623318019.879,2
teastore-db,1623318019.6096373,1623318019.879,1
teastore-image,1623318019.6096373,1623318019.879,1
teastore-persistence,1623318019.6096373,1623318019.879,2
teastore-recommender,1623318019.6096373,1623318019.879,1
teastore-registry,1623318019.6096373,1623318019.879,1
teastore-webui,1623318019.6096373,1623318019.879,8
cilium-operator,1623318024.6136634,1623318025.445,1
coredns,1623318024.6136634,1623318025.445,2
grafana,1623318024.6136634,1623318025.445,1
kube-state-metrics,1623318024.6136634,1623318025.445,1
metrics-server,1623318024.6136634,1623318025.445,1
metrics-server-exporter,1623318024.6136634,1623318025.445,1
prometheus-deployment,1623318024.6136634,1623318025.445,1
teastore-auth,1623318024.6136634,1623318025.445,2
teastore-db,1623318024.6136634,1623318025.445,1
teastore-image,1623318024.6136634,1623318025.445,1
teastore-persistence,1623318024.6136634,1623318025.445,2
teastore-recommender,1623318024.6136634,1623318025.445,1
