name,collectedAt,timestamp,value
teastore-auth-cb9754d67-g5jtl,1623228597.5485234,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228597.5485234,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228597.5485234,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228597.5485234,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228597.5485234,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228597.5485234,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228597.5485234,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228597.5485234,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228602.5536664,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228602.5536664,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228602.5536664,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228602.5536664,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228602.5536664,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228602.5536664,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228602.5536664,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228602.5536664,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228607.5548172,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228607.5548172,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228607.5548172,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228607.5548172,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228607.5548172,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228607.5548172,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228607.5548172,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228607.5548172,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228612.5590205,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228612.5590205,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228612.5590205,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228612.5590205,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228612.5590205,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228612.5590205,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228612.5590205,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228612.5590205,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228617.5628557,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228617.5628557,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228617.5628557,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228617.5628557,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228617.5628557,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228617.5628557,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228617.5628557,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228617.5628557,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228622.5668402,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228622.5668402,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228622.5668402,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228622.5668402,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228622.5668402,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228622.5668402,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228622.5668402,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228622.5668402,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228627.5710192,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228627.5710192,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228627.5710192,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228627.5710192,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228627.5710192,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228627.5710192,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228627.5710192,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228627.5710192,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228632.5760522,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228632.5760522,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228632.5760522,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228632.5760522,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228632.5760522,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228632.5760522,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228632.5760522,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228632.5760522,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228637.578989,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228637.578989,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228637.578989,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228637.578989,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228637.578989,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228637.578989,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228637.578989,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228637.578989,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228642.5830476,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228642.5830476,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228642.5830476,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228642.5830476,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228642.5830476,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228642.5830476,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228642.5830476,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228642.5830476,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228647.5870287,2021-06-09T08:49:45Z,5015802n
teastore-db-97685dd55-jlhhx,1623228647.5870287,2021-06-09T08:49:44Z,1293179n
teastore-image-6d4545697c-pkt7d,1623228647.5870287,2021-06-09T08:49:37Z,5244701n
teastore-persistence-7478f4bd7b-7fqn8,1623228647.5870287,2021-06-09T08:49:36Z,3589900n
teastore-recommender-7d7574595c-p8x5s,1623228647.5870287,2021-06-09T08:49:40Z,7458693n
teastore-registry-676c97dc8b-8trkq,1623228647.5870287,2021-06-09T08:49:51Z,2962619n
teastore-webui-5895447bdf-c5m6p,1623228647.5870287,2021-06-09T08:49:37Z,10382698n
teastore-webui-5895447bdf-c5m6p,1623228647.5870287,2021-06-09T08:49:37Z,10382698n
teastore-auth-cb9754d67-g5jtl,1623228652.590861,2021-06-09T08:50:42Z,533822013n
teastore-db-97685dd55-jlhhx,1623228652.590861,2021-06-09T08:50:46Z,48719847n
teastore-image-6d4545697c-pkt7d,1623228652.590861,2021-06-09T08:50:39Z,476204188n
teastore-persistence-7478f4bd7b-7fqn8,1623228652.590861,2021-06-09T08:50:45Z,963600395n
teastore-recommender-7d7574595c-p8x5s,1623228652.590861,2021-06-09T08:50:41Z,62243026n
teastore-registry-676c97dc8b-8trkq,1623228652.590861,2021-06-09T08:50:42Z,3309702n
teastore-webui-5895447bdf-c5m6p,1623228652.590861,2021-06-09T08:50:40Z,1595156299n
teastore-webui-5895447bdf-c5m6p,1623228652.590861,2021-06-09T08:50:40Z,1595156299n
