collectedAt,timestamp,value
1623228597.5485234,1623228597.68,1
1623228602.5536664,1623228602.8,1
1623228607.5548172,1623228607.817,1
1623228612.5590205,1623228612.837,1
1623228617.5628557,1623228617.852,1
1623228622.5668402,1623228622.768,1
1623228627.5710192,1623228627.787,1
1623228632.5760522,1623228632.906,1
1623228637.578989,1623228637.766,1
1623228642.5830476,1623228642.839,1
1623228647.5870287,1623228647.856,1
1623228652.590861,1623228652.723,1
1623228657.594901,1623228657.789,1
1623228662.5987663,1623228662.909,1
1623228667.6028519,1623228667.774,1
1623228672.6068664,1623228672.842,3
1623228677.611017,1623228677.859,3
1623228682.6149397,1623228682.88,3
1623228687.6190312,1623228687.896,3
1623228692.6229246,1623228692.912,3
1623228697.6274931,1623228697.827,3
1623228702.6326258,1623228702.947,3
1623228707.6349413,1623228707.863,3
1623228712.638897,1623228712.983,3
1623228717.6430752,1623228717.795,3
1623228722.6468537,1623228722.915,3
1623228727.6511276,1623228727.933,3
1623228732.6550672,1623228732.777,6
1623228737.6597245,1623228737.795,6
1623228742.663009,1623228742.813,6
1623228747.6681907,1623228747.902,11
1623228752.671025,1623228752.919,11
1623228757.676092,1623228757.938,11
1623228762.679066,1623228762.955,11
1623228767.6828325,1623228767.973,11
1623228772.6879468,1623228772.888,11
1623228777.6907382,1623228777.818,11
1623228782.6950746,1623228783.051,11
1623228787.6991408,1623228787.941,11
1623228792.703044,1623228792.959,11
1623228797.7070107,1623228797.976,11
1623228802.7110062,1623228802.993,11
1623228807.7160397,1623228808.011,11
1623228812.7210834,1623228812.855,11
1623228817.72622,1623228817.981,11
1623228822.7309194,1623228822.845,11
1623228827.7366858,1623228827.909,11
1623228832.7413068,1623228832.996,11
1623228837.7463415,1623228838.015,11
1623228842.750937,1623228843.032,11
1623228847.755989,1623228847.99,11
1623228852.758934,1623228852.965,15
1623228857.7630374,1623228857.912,15
1623228862.7670128,1623228862.929,15
1623228867.7710986,1623228868.018,15
1623228872.7761397,1623228873.036,15
1623228877.7790885,1623228877.951,15
1623228882.7850654,1623228883.072,15
1623228887.789971,1623228887.986,15
1623228892.7950058,1623228892.933,15
1623228897.801307,1623228898.021,15
1623228902.8053594,1623228903.039,15
1623228907.8109457,1623228908.056,15
1623228912.8149152,1623228913.024,15
1623228917.8168876,1623228918.041,15
1623228922.819073,1623228923.11,15
1623228927.8227334,1623228928.025,15
1623228932.8268673,1623228933.097,15
1623228937.8319635,1623228938.162,15
1623228942.835012,1623228943.015,15
1623228947.8387232,1623228948.198,15
1623228952.8437092,1623228953.113,15
1623228957.8470101,1623228958.081,15
1623228962.8520784,1623228963.151,15
1623228967.857067,1623228967.992,15
1623228972.861269,1623228973.081,15
1623228977.8630087,1623228978.029,15
1623228982.8670046,1623228983.066,15
1623228987.8721187,1623228988.134,15
1623228992.8740811,1623228993.152,15
1623228997.878976,1623228998.17,15
1623229002.883016,1623229003.187,15
1623229007.8875802,1623229008.102,15
1623229012.8926668,1623229013.069,15
1623229017.8972967,1623229018.138,15
1623229022.9021802,1623229023.09,15
1623229027.9074228,1623229028.172,15
1623229032.9124563,1623229033.028,15
1623229037.9174328,1623229038.106,15
1623229042.921313,1623229043.052,15
1623229047.9230378,1623229048.141,15
1623229052.9270272,1623229053.108,15
1623229057.9322307,1623229058.126,15
1623229062.9373157,1623229063.194,15
1623229067.9389203,1623229068.212,15
1623229072.9430304,1623229073.18,15
1623229077.946927,1623229078.072,15
1623229082.9510424,1623229083.132,15
1623229087.9549742,1623229088.282,15
1623229092.9554207,1623229093.31,15
1623229097.9562309,1623229098.071,15
1623229102.9613109,1623229103.183,15
1623229107.9629767,1623229108.25,15
1623229112.968013,1623229113.268,15
1623229117.9711065,1623229118.184,15
1623229122.9749382,1623229123.201,15
1623229127.978713,1623229128.217,15
1623229132.9827108,1623229133.236,15
1623229137.9870641,1623229138.254,15
1623229142.9909382,1623229143.272,15
1623229147.9948835,1623229148.289,15
1623229153.0010104,1623229153.204,15
1623229158.0050058,1623229158.222,15
1623229163.0090094,1623229163.17,15
1623229168.0130262,1623229168.257,15
1623229173.0181038,1623229173.275,15
1623229178.022713,1623229178.292,15
1623229183.0290036,1623229183.255,15
1623229188.033005,1623229188.226,15
1623229193.0360906,1623229193.215,15
1623229198.0410528,1623229198.21,6
1623229203.0430026,1623229203.277,6
1623229208.0495763,1623229208.295,6
1623229213.0530727,1623229213.313,6
1623229218.0550404,1623229218.331,6
1623229223.0601122,1623229223.3,6
1623229228.0650036,1623229228.264,6
1623229233.07092,1623229233.282,6
1623229238.0751052,1623229238.334,6
1623229243.0759134,1623229243.253,6
1623229248.0810268,1623229248.335,6
1623229253.085028,1623229253.352,6
1623229258.0890458,1623229258.267,1
1623229263.0941534,1623229263.388,1
1623229268.099042,1623229268.232,1
1623229273.106112,1623229273.423,1
1623229278.1110601,1623229278.338,1
1623229283.1161306,1623229283.356,1
1623229288.1200674,1623229288.374,1
1623229293.1250715,1623229293.391,1
1623229298.1300983,1623229298.409,1
1623229303.1350844,1623229303.324,1
1623229308.1389594,1623229308.27,1
1623229313.1434064,1623229313.359,1
